TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
comp5111.assignment.cut.Subject,BRANCH,0.9612141652613828,593,550
comp5111.assignment.cut.Subject,BRANCH,0.8785834738617201,593,503
comp5111.assignment.cut.Subject,BRANCH,0.8768971332209107,593,503
comp5111.assignment.cut.Subject,BRANCH,0.8819561551433389,593,503
comp5111.assignment.cut.Subject,BRANCH,0.8010118043844857,593,475
comp5111.assignment.cut.Subject,BRANCH,0.790893760539629,593,455
comp5111.assignment.cut.Subject,BRANCH,0.8448566610455311,593,490
comp5111.assignment.cut.Subject,BRANCH,0.9005059021922428,593,519
comp5111.assignment.cut.Subject,BRANCH,0.7470489038785835,593,436
comp5111.assignment.cut.Subject,BRANCH,0.7858347386172007,593,452
comp5111.assignment.cut.Subject,BRANCH,0.8229342327150084,593,478
comp5111.assignment.cut.Subject,BRANCH,0.7571669477234402,593,436
